"session","created","modified","ended","expired","respondentID","doePath","doe","autoAttendantImg_beg","pageTime3","pageTime4","transportMode_regular","transportMode_regularOther","transportMode_occassionally","transportMode_occassionallyOther","transportMode_never","pageTime5","modeChangeBus","modeChangeRail","modeChangeRH","modeChangeSharedRH","pageTime6","avFamiliarity","automationComfort","transportCosts","avSafety","avBenefit","transportOptions","sharingWillingness","ptAccess","vehicleAccess","environmentConsid","pageTime7","pageTime8","pageTime9","pageTime10","attentionCheck","attentionScreenout"
"VVAjOUQmozBDtgO2B4UpvILOPS3qzNtNXAA-VdVhHur6nWDPQwnbIcKBoH6Y7c1H","2021-10-06 10:41:53","2021-10-06 10:48:33","2021-10-06 10:48:33","","995","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 10:41:53","2021-10-06 10:42:59","personalVehicle, bus","","personalVehicle, bus, rail, RH","","metroaccess","2021-10-06 10:44:25","less","less","less","less","2021-10-06 10:44:25","agreeStrong","agreeStrong","neutral","agreeStrong","disagreeStrong","agreeStrong","neutral","agreeStrong","agreeStrong","agreeStrong","2021-10-06 10:45:51","2021-10-06 10:46:06","2021-10-06 10:46:59","2021-10-06 10:48:17","attendant_no","0"
"aFxDiTbKssoppeIjOeOvxMUas7Slyug-7IXy1mH2TyS7EuB7Ja-H0RDwbB9IR0y5","2021-10-06 10:43:37","2021-10-06 10:46:20","2021-10-06 10:46:21","","1890","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 10:43:38","2021-10-06 10:44:01","personalVehicle","","rail","","RH, sharedRH, metroaccess","2021-10-06 10:44:32","same","same","neverUsed","neverUsed","2021-10-06 10:44:32","agreeStrong","neutral","agree","disagree","agree","disagree","disagreeStrong","agree","agreeStrong","agreeStrong","2021-10-06 10:45:22","2021-10-06 10:45:27","2021-10-06 10:45:51","2021-10-06 10:46:12","attendant_no","0"
"Z79NPqt5irH-a6QEqv5JE-vWvVzpi1iEfd6YPLnj94HKAgfpEdXOxB4L2A8xcQIv","2021-10-06 10:46:31","2021-10-06 10:59:29","2021-10-06 10:59:30","","8","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 10:46:32","2021-10-06 10:49:32","RH, metroaccess","","RH, metroaccess","","usedAll","2021-10-06 10:51:10","less","less","more","less","2021-10-06 10:51:10","agreeStrong","agree","agreeStrong","agree","disagreeStrong","agreeStrong","neutral","agreeStrong","neutral","neutral","2021-10-06 10:53:17","2021-10-06 10:53:32","2021-10-06 10:56:31","2021-10-06 10:59:13","attendant_no","0"
"K51U-24-IqBew4oTM8k81ckT0mPbKnmVEExo_RmphW9H8ZzAi5HbZ7f7qT2CXw8o","2021-10-06 11:12:43","2021-10-06 11:15:05","2021-10-06 11:15:05","","4028","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:12:44","2021-10-06 11:13:19","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 11:13:35","more","more","more","more","2021-10-06 11:13:35","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 11:13:54","2021-10-06 11:13:58","2021-10-06 11:14:20","2021-10-06 11:14:52","attendant_no","0"
"_ecMCtvg4HlGP7DRhb1cN5KzrF4hzgzD6lJ5Jr1aMLFGWjxyzqkZ4dJXtf8Hq12w","2021-10-06 11:15:39","2021-10-06 11:17:13","2021-10-06 11:17:13","","3770","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:15:40","2021-10-06 11:16:06","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 11:16:18","more","more","more","more","2021-10-06 11:16:18","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 11:16:44","2021-10-06 11:16:47","2021-10-06 11:16:57","2021-10-06 11:17:07","attendant_no","0"
"JSQEb2XV9wJhu_q6hdZIpkStSPg39KarjU0767SjpHsLBNHWidAnGs9_x2UlOaye","2021-10-06 11:30:35","2021-10-06 11:34:51","2021-10-06 11:34:51","","1536","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:30:36","2021-10-06 11:31:38","personalVehicle","","rail","","RH","2021-10-06 11:32:27","neverUsed","less","neverUsed","neverUsed","2021-10-06 11:32:27","neutral","disagreeStrong","neutral","disagree","agree","neutral","neutral","agreeStrong","agreeStrong","neutral","2021-10-06 11:34:09","2021-10-06 11:34:13","2021-10-06 11:34:23","2021-10-06 11:34:31","attendant_no","0"
"LIzZb7DZIzmsd4qxItG7g4xQZ2gXsgDDdMda1hPWsvy39llsFTMMlvCP1_LbMHKZ","2021-10-06 11:31:39","2021-10-06 11:33:03","2021-10-06 11:33:03","","4529","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:31:40","2021-10-06 11:32:09","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 11:32:19","more","more","more","more","2021-10-06 11:32:19","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 11:32:37","2021-10-06 11:32:41","2021-10-06 11:32:50","2021-10-06 11:32:58","attendant_no","0"
"Hld9BnKuCjVvApbdTqw5IRQQAcLFLBPSD_mrhsNdUxrXgS8V5-OoPgObn0E4ze48","2021-10-06 11:36:39","2021-10-06 11:38:16","2021-10-06 11:38:16","","2421","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:36:40","2021-10-06 11:37:06","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 11:37:19","more","more","more","more","2021-10-06 11:37:19","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 11:37:35","2021-10-06 11:37:39","2021-10-06 11:37:44","2021-10-06 11:38:12","attendant_no","0"
"KnBww7OLXICnUALeFX1sEtkxYJHuu7kW92Jtcp5l639rNZYz5wyLz2aEcppMIHho","2021-10-06 11:43:42","2021-10-06 12:17:20","2021-10-06 12:17:20","","1711","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:43:42","2021-10-06 11:45:13","personalVehicle, bus","","sharedRH, metroaccess","","usedAll","2021-10-06 12:16:08","same","less","less","same","2021-10-06 12:16:08","agree","agree","neutral","agree","agree","agree","neutral","neutral","agree","neutral","2021-10-06 12:17:02","2021-10-06 12:17:05","2021-10-06 12:17:09","2021-10-06 12:17:16","attendant_no","0"
"hoh1NNLvRxVh-EoM4CQ_-LReH6QnZdeG4mZap-8fB8yK4amhfOsJUQuRkQDpJkAd","2021-10-06 11:45:34","2021-10-06 11:47:16","2021-10-06 11:47:16","","1987","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:45:35","2021-10-06 11:46:19","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 11:46:28","more","more","more","more","2021-10-06 11:46:28","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 11:46:49","2021-10-06 11:47:01","2021-10-06 11:47:07","2021-10-06 11:47:12","attendant_no","0"
"FA0SJcdz8PuwJyHRaQJnKNOgCA9u0gVXektyX_gHt1NQ0HNFDSiqU31f4vlDfZBa","2021-10-06 11:46:17","2021-10-06 12:59:48","2021-10-06 12:59:48","","4357","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:46:17","2021-10-06 11:46:36","personalVehicle","","RH, sharedRH","","usedAll","2021-10-06 12:43:52","same","less","less","same","2021-10-06 12:44:02","agree","agreeStrong","agreeStrong","agree","agreeStrong","agreeStrong","agree","agreeStrong","agreeStrong","agree","2021-10-06 12:48:29","2021-10-06 12:49:20","2021-10-06 12:59:34","2021-10-06 12:59:41","attendant_no","0"
"65Wd4yHosibMR07kltWDA_tjC8bSatmIJ_IRySSXh841LGTku821AZiaa8RZuDDl","2021-10-06 11:46:22","2021-10-06 12:17:14","2021-10-06 12:17:15","","1402","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:46:22","2021-10-06 11:46:46","personalVehicle","","RH, sharedRH","","usedAll","2021-10-06 12:15:35","same","less","same","same","2021-10-06 12:15:45","agree","agreeStrong","agreeStrong","agree","agree","agree","agreeStrong","agree","agree","agree","2021-10-06 12:16:07","2021-10-06 12:16:10","2021-10-06 12:17:01","2021-10-06 12:17:07","attendant_no","0"
"J8nFw9gcoKU1YtdPvYAY0IUJpNE_cXfp1LidzjtLZDJBr1SdYziCF8G1ZvowUwZf","2021-10-06 11:52:25","2021-10-06 12:10:45","2021-10-06 12:10:46","","4381","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:52:26","2021-10-06 11:52:51","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 11:52:59","more","more","more","more","2021-10-06 11:52:59","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 11:53:21","2021-10-06 12:06:43","2021-10-06 12:08:40","2021-10-06 12:09:46","attendant_no","0"
"KfkJzdfByVy28PqmfQb7wM9VlUmMsv7KSZIZUTpSAZ_x-gYPGnKYGiHLmGdWMczp","2021-10-06 11:55:11","2021-10-06 12:42:44","2021-10-06 12:42:45","","1837","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:55:11","2021-10-06 11:55:19","personalVehicle, RH","","sharedRH","","usedAll","2021-10-06 12:21:45","neverUsed","less","less","less","2021-10-06 12:41:57","agree","agreeStrong","agree","agree","agreeStrong","agree","agreeStrong","agreeStrong","agree","agreeStrong","2021-10-06 12:42:13","2021-10-06 12:42:15","2021-10-06 12:42:21","2021-10-06 12:42:24","attendant_no","0"
"W7jj8mMP2TOUTSfkhFuA2TdXXW__-AJjmFk2-JrvCgicfYSKOmvGblOVjqG-niFF","2021-10-06 11:56:36","2021-10-06 12:09:40","2021-10-06 12:09:40","","2674","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 11:56:37","2021-10-06 11:56:44","personalVehicle, bus","","RH, sharedRH","","usedAll","2021-10-06 12:08:32","same","less","less","same","2021-10-06 12:08:49","neutral","agree","neutral","agree","neutral","agree","agree","agreeStrong","neutral","agree","2021-10-06 12:09:10","2021-10-06 12:09:15","2021-10-06 12:09:21","2021-10-06 12:09:28","attendant_no","0"
"3TTxSyxlfGJVwYBRPaLgZQzgMNVBiCy1kWhnJ__ElH0SC7QLHGaCiht2FJAxmjM4","2021-10-06 12:19:03","2021-10-06 12:23:25","2021-10-06 12:23:25","","3904","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:19:03","2021-10-06 12:19:31","other","none of the above","other","Taxi","RH, sharedRH, metroaccess","2021-10-06 12:20:44","less","less","neverUsed","neverUsed","2021-10-06 12:20:44","agree","disagreeStrong","neutral","neutral","neutral","neutral","disagreeStrong","agreeStrong","disagreeStrong","agree","2021-10-06 12:21:58","2021-10-06 12:22:07","2021-10-06 12:22:43","2021-10-06 12:23:11","attendant_no","0"
"QeGrG6VoNSsjcElONuVk5Z8ImIX51DTOBrKFkIqNyqHoDTzVBrl5D_MBDv4gzz_S","2021-10-06 12:19:45","2021-10-06 12:21:33","2021-10-06 12:21:33","","4695","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:19:46","2021-10-06 12:20:32","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 12:20:41","more","more","more","more","2021-10-06 12:20:41","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 12:21:07","2021-10-06 12:21:14","2021-10-06 12:21:20","2021-10-06 12:21:28","attendant_no","0"
"rPYcl85cceIYQHTVOXEWgQlTLWZLAjr8MxBOMJGKiQuLbvYXkGWWXgVjoFisK1c5","2021-10-06 12:20:10","2021-10-06 12:24:41","2021-10-06 12:24:41","","3211","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:20:11","2021-10-06 12:21:35","personalVehicle","","personalVehicle","","RH, sharedRH, metroaccess","2021-10-06 12:22:14","same","same","neverUsed","neverUsed","2021-10-06 12:22:14","agree","neutral","neutral","neutral","neutral","neutral","disagree","disagree","agreeStrong","agree","2021-10-06 12:23:13","2021-10-06 12:23:19","2021-10-06 12:23:55","2021-10-06 12:24:23","attendant_no","0"
"0bCmha8NvGNZBQHDRFEWGWXYjYzTurOxpDEDd0TeUZD9l_w4rQ9JHBULapf1Eu6S","2021-10-06 12:25:36","2021-10-06 13:04:32","2021-10-06 13:04:32","","2303","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:25:37","2021-10-06 12:58:36","personalVehicle","","personalVehicle","","sharedRH, metroaccess","2021-10-06 12:59:37","less","less","less","neverUsed","2021-10-06 12:59:37","agreeStrong","agreeStrong","agree","agreeStrong","disagreeStrong","agree","neutral","agree","agreeStrong","disagree","2021-10-06 13:02:29","2021-10-06 13:02:33","2021-10-06 13:03:36","2021-10-06 13:04:18","attendant_no","0"
"ySNU0bLubMcaW1wzUSH_mIELU-yLctrQZpjDiaEJ7_gPZyM6rK3X_dCi24332JFI","2021-10-06 12:27:17","2021-10-06 12:32:08","2021-10-06 12:32:08","","1242","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:27:17","2021-10-06 12:28:27","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 12:29:01","neverUsed","less","less","neverUsed","2021-10-06 12:29:01","agreeStrong","agree","agree","agree","agreeStrong","agree","neutral","agree","agree","agreeStrong","2021-10-06 12:30:45","2021-10-06 12:30:56","2021-10-06 12:31:22","2021-10-06 12:31:40","attendant_no","0"
"enlxzSR6B9ugoJ_giucZO8NW7dWTl5P62U3vg6ro4oZJBBiwg5Nn9ZHjPGnP4UP4","2021-10-06 12:30:18","2021-10-06 12:33:30","2021-10-06 12:33:30","","4383","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:30:19","2021-10-06 12:30:47","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 12:30:55","more","more","more","more","2021-10-06 12:30:55","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 12:31:50","2021-10-06 12:32:28","2021-10-06 12:32:37","2021-10-06 12:33:17","attendant_no","0"
"amhpWEAxaYLSifSmTQzbVWehgVzTWM_q9EtbAfSJHUIdEi49uiHClN-_IVtWpkss","2021-10-06 12:30:31","2021-10-06 12:33:25","2021-10-06 12:33:25","","290","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:30:31","2021-10-06 12:31:04","personalVehicle, bus, rail, RH, sharedRH, metroaccess, other","Car","personalVehicle, bus, rail, RH, sharedRH, metroaccess, other","Car","usedAll","2021-10-06 12:31:58","neverUsed","neverUsed","neverUsed","neverUsed","2021-10-06 12:31:58","disagreeStrong","disagreeStrong","disagreeStrong","disagreeStrong","disagreeStrong","disagree","disagree","disagree","neutral","neutral","2021-10-06 12:32:57","2021-10-06 12:32:59","2021-10-06 12:33:11","2021-10-06 12:33:15","non_auto","1"
"CJkxQWOrL16ldqNLo5ER19LWW_J416WmD4fKEoiMsXsmzpJ_lyOzk_LjywKKhM09","2021-10-06 12:32:20","2021-10-06 12:39:32","2021-10-06 12:39:33","","3626","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:32:21","2021-10-06 12:32:57","personalVehicle","","personalVehicle","","RH, sharedRH, metroaccess","2021-10-06 12:34:20","neverUsed","less","neverUsed","neverUsed","2021-10-06 12:34:20","disagree","disagreeStrong","neutral","disagreeStrong","agree","disagree","disagreeStrong","disagree","agreeStrong","disagree","2021-10-06 12:37:25","2021-10-06 12:37:35","2021-10-06 12:38:16","2021-10-06 12:39:01","attendant_no","0"
"oOf0kiDOGealbcepCfpnrBDj_HZrn50fFK5O2naZf_iBkIUc65H3n5_igd-O9_N7","2021-10-06 12:34:18","2021-10-06 12:37:20","2021-10-06 12:37:20","","3315","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:34:19","2021-10-06 12:35:59","personalVehicle","","personalVehicle","","sharedRH","2021-10-06 12:36:22","more","same","more","more","2021-10-06 12:36:22","agree","agreeStrong","agreeStrong","agree","agreeStrong","agreeStrong","agree","agreeStrong","agree","agree","2021-10-06 12:36:59","2021-10-06 12:37:03","2021-10-06 12:37:11","2021-10-06 12:37:15","attendant_yes","1"
"pNsXrtp6uu13Uw8Ya0yNR57-B2lS3uij6br5WZn8XFSfSiONr9rrkiSfvv2ckyRz","2021-10-06 12:39:17","2021-10-06 12:42:18","2021-10-06 12:42:18","","1828","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:39:18","2021-10-06 12:41:06","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 12:41:14","more","more","more","more","2021-10-06 12:41:14","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 12:41:48","2021-10-06 12:41:56","2021-10-06 12:42:02","2021-10-06 12:42:09","attendant_no","0"
"WvVWOzmIttbRwgkXDQkLRiRCjp0poUwMMIVMKd-yj_VBnkmNMPj7VZifaf779NaB","2021-10-06 12:39:40","2021-10-06 12:41:45","2021-10-06 12:41:45","","1756","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:39:41","2021-10-06 12:40:06","personalVehicle","","bus, rail, metroaccess","","usedAll","2021-10-06 12:40:24","less","same","less","less","2021-10-06 12:40:24","agreeStrong","neutral","disagreeStrong","agree","disagreeStrong","disagreeStrong","disagreeStrong","agree","agreeStrong","agreeStrong","2021-10-06 12:41:23","2021-10-06 12:41:25","2021-10-06 12:41:36","2021-10-06 12:41:41","attendant_yes","1"
"4s3vd9hYiSOlBLANx6tSMNGQS0PkN7IjLCt-kWfKersPBsrsMovKsxevqEFLm97P","2021-10-06 12:43:09","2021-10-06 12:47:59","2021-10-06 12:47:59","","605","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:43:10","2021-10-06 12:44:21","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 12:45:30","more","more","more","more","2021-10-06 12:45:30","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 12:45:56","2021-10-06 12:46:11","2021-10-06 12:47:31","2021-10-06 12:47:49","attendant_no","0"
"yV6w6Wbq56GmyvUKtk9DAxF7100YsbZIfXOKrxveJ08ThDCcB3sQxk8d1_9ZFqjb","2021-10-06 12:49:03","2021-10-06 12:53:48","2021-10-06 12:53:49","","204","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:49:03","2021-10-06 12:49:36","personalVehicle","","personalVehicle","","personalVehicle","2021-10-06 12:50:34","more","more","more","more","2021-10-06 12:50:34","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","agreeStrong","2021-10-06 12:53:05","2021-10-06 12:53:14","2021-10-06 12:53:35","2021-10-06 12:53:41","attendant_no","0"
"uXhB5AY4h7ROgjsrirs6g704RhAOZaCWcJZmfOX1hGmFxu3DtIJ1GVOXWkXWN_5y","2021-10-06 12:53:03","2021-10-06 12:57:08","2021-10-06 12:57:08","","36","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:53:04","2021-10-06 12:54:12","personalVehicle","","personalVehicle","","bus, rail, RH, sharedRH, metroaccess, usedAll","2021-10-06 12:54:38","less","less","less","less","2021-10-06 12:54:38","agreeStrong","disagreeStrong","agreeStrong","disagree","agreeStrong","disagree","disagreeStrong","disagree","agreeStrong","agree","2021-10-06 12:55:46","2021-10-06 12:55:50","2021-10-06 12:56:23","2021-10-06 12:56:55","attendant_no","0"
"37ZM09sIYjJNqa-BVsUws3PVG8dT2oV0e4ghtRSoI7gmDlvISHUlIi2G9qdv2KzG","2021-10-06 12:54:09","2021-10-06 12:59:29","2021-10-06 12:59:29","","869","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:54:10","2021-10-06 12:55:10","personalVehicle, RH","","metroaccess","","usedAll","2021-10-06 12:55:59","less","less","less","less","2021-10-06 12:55:59","agree","agree","agree","agree","agree","agree","disagree","agree","agreeStrong","agreeStrong","2021-10-06 12:56:57","2021-10-06 12:57:14","2021-10-06 12:58:16","2021-10-06 12:59:09","attendant_no","0"
"hbsNFJCxK0oDcoLXspx687DsCCasHO-YVDjy_JulzBO44sp8Vsm-BGXFv2dwrZhE","2021-10-06 12:55:48","2021-10-06 13:00:32","2021-10-06 13:00:32","","2653","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:55:49","2021-10-06 12:57:01","personalVehicle","","RH","","usedAll","2021-10-06 12:57:51","same","same","less","less","2021-10-06 12:57:51","agree","agree","neutral","agree","disagree","agree","agree","neutral","agreeStrong","disagree","2021-10-06 12:59:47","2021-10-06 12:59:54","2021-10-06 13:00:09","2021-10-06 13:00:19","attendant_no","0"
"DCXvvc3tj20bWEiQJZ1cK5FWv_P-jv7-QMBecBa6ZutlFRDJFFZunaAih3Tv1phg","2021-10-06 12:56:54","2021-10-06 12:59:47","2021-10-06 12:59:47","","2286","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:56:55","2021-10-06 12:57:45","personalVehicle","","personalVehicle","","sharedRH, metroaccess","2021-10-06 12:58:12","less","less","less","neverUsed","2021-10-06 12:58:12","agree","neutral","neutral","neutral","neutral","agree","disagree","agree","agreeStrong","disagree","2021-10-06 12:59:06","2021-10-06 12:59:18","2021-10-06 12:59:27","2021-10-06 12:59:43","attendant_yes","1"
"tJCOw8blgvK2Hy6Dw4mT86WYXZ_oDsif8w80HHH0b3sOrW_ZPZ2ky54i6soSj0Vd","2021-10-06 12:58:04","2021-10-06 13:01:18","2021-10-06 13:01:18","","78","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 12:58:05","2021-10-06 12:58:43","personalVehicle","","personalVehicle","","sharedRH, metroaccess","2021-10-06 12:59:36","same","same","neverUsed","same","2021-10-06 12:59:36","agree","disagreeStrong","neutral","disagreeStrong","agreeStrong","disagreeStrong","disagreeStrong","agreeStrong","agreeStrong","disagreeStrong","2021-10-06 13:00:34","2021-10-06 13:00:39","2021-10-06 13:00:53","2021-10-06 13:01:06","attendant_no","0"
"CZj-I2Bd7TwMDzJYQTh3CUaG6JVzmxRx5HvBCD4zqoRVuB22lfoQnU0xGwIxhV-F","2021-10-06 13:01:54","2021-10-06 13:06:48","2021-10-06 13:06:48","","4586","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 13:01:54","2021-10-06 13:03:14","personalVehicle","","sharedRH","","RH, metroaccess","2021-10-06 13:04:10","less","less","neverUsed","same","2021-10-06 13:04:10","disagree","disagreeStrong","agreeStrong","disagree","neutral","disagree","disagree","disagree","agree","disagree","2021-10-06 13:05:20","2021-10-06 13:05:30","2021-10-06 13:06:17","2021-10-06 13:06:37","attendant_no","0"
"v5kchXn5cYZCvA365Rqf_97aps1PNegUn9IY0sIPbb_uEZSRmLyl9N7nlFptwYq4","2021-10-06 13:03:58","","","","4523","https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/survey.csv","Array","'https://raw.githubusercontent.com/lkaplan25/AV_conjoint_survey/main/attendant_","2021-10-06 13:03:59","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
